#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             585            0.22       0.0388171       0.0071211
             586           0.164       0.0390307      0.00711215
             587           -0.02       0.0389302      0.00710075
             588          -0.092       0.0387075      0.00709216
             589           0.144       0.0388862      0.00708238
             590          -0.028       0.0387729      0.00707128
             591          -0.092       0.0385516      0.00706278
             592            0.06       0.0385878      0.00705094
             593          -0.156       0.0382597      0.00704668
             594          -0.204       0.0378519      0.00704661
             595           0.124       0.0379966      0.00703625
             596            0.04           0.038      0.00702445
             597           0.128       0.0381508       0.0070143
             598           0.232       0.0384749      0.00701006
             599           0.092       0.0385643      0.00699892
             600            0.08       0.0386333       0.0069876
             601          -0.132       0.0383494      0.00698174
             602           0.208       0.0386312      0.00697582
             603           0.428       0.0392769      0.00699408
             604           0.388       0.0398543      0.00700629
             605           0.016       0.0398149      0.00699482
             606           -0.04       0.0396832      0.00698452
             607           0.012       0.0396376      0.00697316
             608            0.24       0.0399671      0.00696947
             609            0.34       0.0404598      0.00697542
             610             0.1       0.0405574      0.00696467
             611           0.008       0.0405041      0.00695347
             612          -0.004       0.0404314      0.00694249
             613          -0.044       0.0402936      0.00693253
             614           -0.06       0.0401303      0.00692316
             615             0.1       0.0402276      0.00691259
             616          -0.104       0.0399935      0.00690533
             617           0.112       0.0401102      0.00689513
             618          -0.236       0.0396634      0.00689843
             619           0.016       0.0396252      0.00688739
             620           0.148          0.0398       0.0068785
             621          -0.024       0.0396973      0.00686819
             622            0.12       0.0398264      0.00685836
             623           0.188       0.0400642      0.00685148
             624           0.232       0.0403718       0.0068474
             625          -0.152        0.040064      0.00684336
             626            0.12       0.0401917      0.00683362
             627           0.136       0.0403445      0.00682443
             628           0.412       0.0409363      0.00683917
             629            0.14       0.0410938      0.00683011
             630          -0.004       0.0410222      0.00681964
             631           0.056        0.041046      0.00680888
             632           0.208       0.0413101      0.00680323
             633           0.168       0.0415103      0.00679542
             634          -0.016       0.0414196      0.00678531
             635           0.112       0.0415307      0.00677553
             636           0.032       0.0415157       0.0067649
             637             0.3       0.0419215      0.00676644
             638           0.112       0.0420313      0.00675672
             639          -0.176       0.0416901      0.00675476
             640           0.012       0.0416437      0.00674436
             641           0.204        0.041897       0.0067386
             642          -0.012       0.0418131      0.00672862
             643          -0.132       0.0415428      0.00672359
             644           0.044       0.0415466      0.00671315
             645           0.276       0.0419101      0.00671257
             646           0.156       0.0420867       0.0067045
             647          -0.212        0.041694      0.00670563
             648            -0.2        0.041321      0.00670565
             649            0.12       0.0414422      0.00669641
             650           0.332       0.0418892      0.00670102
             651           0.268       0.0422366      0.00669972
             652             0.2       0.0424785      0.00669381
             653           0.192       0.0427075      0.00668747
             654          -0.036       0.0425872      0.00667833
             655          -0.092       0.0423817       0.0066713
             656          -0.184       0.0420366      0.00667005
             657          -0.016       0.0419482      0.00666048
             658           0.036       0.0419392      0.00665036
             659            0.22       0.0422094      0.00664576
             660          -0.036       0.0420909      0.00663674
             661             0.3       0.0424811      0.00663816
             662           -0.12       0.0422356      0.00663267
             663            0.16       0.0424133      0.00662505
             664           0.224       0.0426867      0.00662071
             665            0.08       0.0427429      0.00661099
             666           0.112       0.0428468      0.00660188
             667           0.208       0.0430945      0.00659663
             668           0.024       0.0430659      0.00658681
             669           -0.22       0.0426726       0.0065887
             670          -0.024       0.0425731      0.00657961
             671           0.108       0.0426706      0.00657053
             672           0.064       0.0427024      0.00656083
             673           0.124       0.0428232      0.00655219
             674            -0.2       0.0424629      0.00655237
             675          -0.176       0.0421393      0.00655065
             676           0.016       0.0421006      0.00654107
             677            0.04       0.0420975      0.00653141
             678          -0.008       0.0420236       0.0065222
             679            0.04       0.0420206      0.00651259
             680           0.068       0.0420588      0.00650313
             681          -0.048       0.0419266      0.00649492
             682           -0.16       0.0416305      0.00649214
             683          -0.044       0.0415051      0.00648385
             684          -0.284       0.0410292      0.00649181
             685           -0.18       0.0407066      0.00649035
             686          -0.244       0.0402915      0.00649414
             687            0.16       0.0404658      0.00648703
             688           0.072       0.0405116      0.00647776
             689           0.336       0.0409405      0.00648254
             690            0.38       0.0414319      0.00649174
             691           0.068       0.0414703      0.00648246
             692           -0.24       0.0410636      0.00648584
             693          -0.156       0.0407792      0.00648271
             694          -0.312       0.0402709      0.00649327
             695          -0.076       0.0401036      0.00648608
             696          -0.308       0.0396034      0.00649602
             697           0.104       0.0396958      0.00648735
             698           0.092       0.0397708      0.00647849
             699           0.096       0.0398512      0.00646972
             700           -0.12       0.0396229      0.00646451
             701           0.272       0.0399544      0.00646378
             702           0.264       0.0402735      0.00646245
             703            0.14       0.0404154      0.00645481
             704           0.088        0.040483        0.006446
             705            0.02       0.0404539      0.00643692
             706           0.104       0.0405439      0.00642843
             707           0.188       0.0407525      0.00642272
             708           0.168       0.0409322      0.00641617
             709          -0.088       0.0407504      0.00640969
             710          -0.196       0.0404169      0.00640933
             711           0.232       0.0406864      0.00640598
